,price,funding,cost,traded,hours_held,long_pnl,short_pnl,total,t24_med
POLUSDT,32.73562050173179,0.292912409973519,2.167497989930182,3235.071626761465,1392.0,45.10426711880702,-12.368646617075276,30.861034921775122,23972929.125
MONUSDT,32.88106055740461,-0.31793677018458355,1.35935781854145,2028.892266479776,1872.0,12.56828219964324,20.312778357761296,31.203765968678578,16667041.328125
SWARMSUSDT,32.31357644885276,0.19526663460735474,1.2537890105045306,1871.3268813500456,504.0,-5.8598619264314245,38.17343837528419,31.255054072955584,7468674.4453125
WCTUSDT,32.60239730492437,-0.4271556441079789,0.7977852352290136,1190.7242316850948,492.0,0.0,32.60239730492437,31.377456425587376,6480969.83984375
MOVRUSDT,30.289902091099847,2.034643049163284,0.26447598234783287,394.74027216094464,168.0,29.404950845858956,0.8849512452408999,32.0600691579153,4404175.23046875
DUSDT,33.840342031477654,-0.4587858605803535,0.4430796931621022,661.3129748688093,48.0,0.0,33.840342031477654,32.93847647773519,2802182.732421875
MORPHOUSDT,35.87817319017512,-0.5888282261849065,2.2829346387834866,3407.3651325126657,924.0,38.018493712623155,-2.1403205224480457,33.00641032520672,8176625.78125
AIGENSYNUSDT,23.306493774684167,10.335922860121467,0.4079978177719272,608.9519668237718,96.0,23.306493774684167,0.0,33.234418817033706,7825631.3671875
1000000MOGUSDT,34.37754268594674,0.2083694667812016,0.9202734512616506,1373.5424645696276,192.0,-0.6809481545926189,35.058490840539356,33.66563870146629,7279786.9609375
BROCCOLIF3BUSDT,47.91070541211209,-13.745600338835148,0.31457913956651495,469.5211038306194,180.0,0.0,47.91070541211209,33.85052593371043,1698848.3876953125
LEVERUSDT,33.46064179406035,4.617759853039148,4.0590455487583545,6058.276938445307,2424.0,13.17291237353257,20.28772942052774,34.01935609834114,10418806.4765625
COWUSDT,33.83708638957798,2.2193420995539532,1.8478132854847649,2757.9302768429325,816.0,38.08016928751732,-4.24308289793923,34.20861520364718,4915950.7265625
